Description ,Location,lat,lng,Desc,,,
Alinea,"1723 N Halsted St, Chicago, IL 60614",41.912720,-87.648178,Fine Dining,,,
Au Cheval,"800 W Randolph St, Chicago, IL 60607",41.884640,-87.647682,Diner,,,
Avec,"615 W Randolph St, Chicago, IL 60661",41.884338,-87.643250,American Fare,,,
Doughnut Vault,"401 N Franklin St, Chicago, IL 60654",41.889350,-87.635370,Donuts!,,,
Fontano’s Subs,"1058 W Polk St, Chicago, IL 60607",41.871930,-87.653430,Sandwich Shop,,,
goosefoot,"2656 W Lawrence Ave, Chicago, IL 60625",41.968770,-87.695980,Fine Dining,,,
Hot Doug’s @ Wrigley Field,"1060 W Addison St, Chicago, IL 60613",41.947460,-87.654732,Ballpark dining,,,
Ipsento Coffee,"2035 N Western Ave, Chicago, IL 60647",41.918652,-87.687103,Coffee,,,
Lao Sze Chuan,"2172 S Archer Ave, Chicago, IL 60616",41.853310,-87.634918,Chinese,,,
Nhu Lan Bakery,"2612 W Lawrence Ave, Chicago, IL 60625",41.968700,-87.694730,Vietnamese Bakery and Sandwich Shop,,,
Publican Quality Meats,"825 W Fulton Market, Chicago, IL 60607",41.886532,-87.648514,Butcher and Sandwich Shop,,,
RM Champagne Salon,"116 N Green St, Chicago, IL 60607",41.883839,-87.648888,New American,,,
Sun Wah BBQ,"5039 N Broadway, Chicago, IL 60640",41.973910,-87.659590,Chinese BBQ,,,
Tac Quick,"1011 W Irving Park Rd, Chicago, IL 60613",41.954400,-87.654990,Thai,,,
The Northman,"4337 N Lincoln Ave, Chicago, IL 60618",41.960690,-87.683140,Bar,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,